_id,图片,类型,产国,名称,弹长,简介,研发单位,弹重,引信,大类,弹径,制导系统,最大速度,射程,研制时间,翼展
{'$oid': '5cc933ab831b973d657f228c'},,岸舰导弹,日本,KAM-9反坦克导弹,1.565米,"

",日本川崎重工业公司,30千克,NULL,导弹武器,0.152米,NULL,NULL,4千米,1964年,0.33米
{'$oid': '5cc933ab831b973d657f228d'},http://images.huanqiu.com/sarons/2013/11/13c732d055b5574e267035acdcc210ea.jpg,岸舰导弹,中国,海鹰-2甲(HY-2A）岸舰导弹,7.46米,"
海鹰二号岸舰导弹（HY-2），北约代号 C-SS-3 “眼动”（Saccade），出口型号名称C-201，是我国1960年代至1980年代研制服役的岸舰导弹。
",中国海鹰机电技术研究院,513千克,NULL,导弹武器,0.76米,自主式控制加自动导引地面火控系统,1013千米/小时,100千米,1965年,2.4米
{'$oid': '5cc933ab831b973d657f228e'},http://images.huanqiu.com/sarons/2013/11/5ed720a0835b034196dfee62a5383703.jpg,岸舰导弹,中国,海鹰-4(HY-4/C-201W) 岸舰导弹,7.36米,"
海鹰-4(HY-4)岸基反舰导弹，北约代号SSC-7""Sadsack""是在海鹰2（HY-2）反舰导弹基础上研制而成的，是HY-2增程改进型，出口型号为C-201W。两者最大的不同是C-201W用涡喷发动机取代了“海鹰-2”的液体火箭发动机，提高了射程。主要用于在复杂气象条件下摧毁大型水面舰只。
",中国海鹰机电技术研究院,1740千克,NULL,导弹武器,0.76米,自主式控制加自动导引,957千米/小时,135千米,1970年,2.4米
{'$oid': '5cc933ab831b973d657f228f'},,岸舰导弹,中国,鹰击201（C-201）岸舰，舰舰导弹,6.392米,,NULL,715千克,NULL,导弹武器,0.36米,自主式控制加自动导引,80千米/小时,120千米,1960年,NULL
{'$oid': '5cc933ac831b973d657f2290'},http://images.huanqiu.com/sarons/2013/11/f1437fb7c9b52a8bebbf398304b8c659.jpg,岸舰导弹,中国,海鹰-1甲(HY-1A）岸/舰舰导弹,6.6米,"
“海鹰”－1甲相比“海鹰”－1具有抗电子干扰、抗海浪干扰和提高突防能力的频率捷变雷达，较低的导弹平飞高度的无线电高度表，导弹平飞高度降至20米以下；还换装了具有30度扇面发射射界的新式自动驾驶仪。
",飞航导弹研究院,2300千克,圆锥扫描雷达,导弹武器,0.76米,NULL,900千米/小时,85千米,1965年,2.4米
{'$oid': '5cc933ac831b973d657f2291'},,岸舰导弹,中国,海鹰－2(HY-2/C-201)岸舰导弹,7.36米,"
海鹰-2（HY-2）岸基反舰导弹导弹，北约代号CSSC-3""Seersucker""，海射版本CSS-N-2""Safflower""。（由中国海鹰机电技术研究院研制，西方称“蚕”式导弹。出口型号：C-201。
",中国海鹰机电技术研究院,513千克,NULL,导弹武器,0.76米,自主式控制加自动导引地面火控系统,1013千米/小时,100千米,1966年,2.4米
{'$oid': '5cc933ac831b973d657f2292'},http://images.huanqiu.com/sarons/2013/11/141e082cd054c7f8fa3767c8251e31f7.jpg,岸舰导弹,瑞典,RBS15型反舰导弹,4.33米,"
RBS15反舰导弹系列是一套成熟的反舰导弹，可远程全天候昼夜打击目标，射程在200千米以上。RBS15反舰导弹抗电子干扰能力强，突防能力极强，其末段飞行弹道高度极低，可进行规避机动飞行，并重新攻击目标。
",萨伯动力公司,800千克,NULL,导弹武器,0.5米,NULL,NULL,200千米,1979年,NULL
{'$oid': '5cc933ac831b973d657f2293'},,岸舰导弹,日本,79式“重马特”反坦克导弹,1.565米,"
该导弹既可攻击地面坦克装甲车辆，也可在反登陆作战中攻击小型登陆舰艇，起到海岸炮的作用。这是日本重型反坦克导弹的重要特点，并被一直延续下去。
",日本川崎重工,103千克,NULL,导弹武器,0.152米,NULL,NULL,4千米,1964年,NULL
{'$oid': '5cc933ac831b973d657f2294'},http://images.huanqiu.com/sarons/2013/11/199c4a8c33316525286623c89fd1781f.jpg,岸舰导弹,苏/俄,3M54E俱乐部反舰导弹,8.22米,"
“俱乐部”导弹由俄罗斯的“花岗岩”－M巡航导弹发展而来。“花岗岩”－M导弹类似于美国的“战斧”式巡航导弹，由潜艇发射，由它发展出来的导弹有两种，分别是3M54E－1亚音速反舰导弹和3M54E“俱乐部”超音速反舰导弹。也许是因为出自同门的原因，再加上编号如此相近，以至西方甚至俄罗斯媒体都不加区别地将它们统称为“俱乐部”导弹。但是据革新家设计局称，“俱乐部”导弹仅仅指3M54E超音速反舰导弹,俄罗斯“俱乐部”导弹的北约代号是 SS-N-27“炙热”。
",诺瓦托尔设计局,2300千克,NULL,导弹武器,5.33米,NULL,3552千米/小时,300千米,1990年,NULL
{'$oid': '5cc933ac831b973d657f2295'},http://images.huanqiu.com/sarons/2013/11/d8fbb9e8f5364118793e6472ef130844.jpg,岸舰导弹,日本,88式岸对舰导弹（SSM-1）,5米,"
SSM-1从空射的ASM-1反舰导弹改良来的二代导弹，另外还有两种型：空射（ASM-1C）和船射（SSM-1B）。基本配置编队中每辆74式运输卡车也同时是发射平台（6枚SSM-1），还要搭配一些雷达车或路基雷达，火控系统车，指挥协调车。也有雷达、火控、指挥合一的“支援车”。
",三菱重工,660千克,NULL,导弹武器,0.35米,NULL,1150千米/小时,150千米,NULL,NULL
{'$oid': '5cc933ad831b973d657f2296'},http://images.huanqiu.com/sarons/2014/01/5337c58cdb5e61c02278cf6d47c405d8.jpg,岸舰导弹,瑞典,尔布斯15 -3 ,4.45米,,NULL,NULL,NULL,导弹武器,0.5米,NULL,NULL,250千米,1994年,1.4米
