制造商,生产年限,类型,名称,大类,有效射程,_id,图片,产国,全枪重,战斗射速,简介,口径,弹匣容弹量,全枪长
德国HK公司,1990年,榴弹发射器,40毫米齐射榴弹发射器,枪械与单兵,300米,{'$oid': '5cc93273831b973d657f1b88'},NULL,德国,15千克,NULL,NULL,40毫米,10发,330毫米
黑克勒-科赫,2008年9月,榴弹发射器,M320榴弹发射器,枪械与单兵,NULL,{'$oid': '5cc93273831b973d657f1b89'},http://images.huanqiu.com/sarons/2014/01/4adbc1e572575a9338a01a095716423b.jpg,美国,NULL,NULL,"
M320榴弹发射器模组（M320 Grenade Launcher Module，GLM）的设计起源于美军要求以新的单发40毫米榴弹发射器以替换M203榴弹发射器。

2006年，成功中标的黑克勒-科赫提供其设计的XM320给美军试验（X代表试验型号（experimental）），完成试验后将改称为M320，据ArmyTimes的消息指M320将在2008年9月正式投产。
",40毫米,NULL,350毫米
美国霍克工程公司,20世纪80年代,榴弹发射器,MM-1式37毫米榴弹发射器,枪械与单兵,137米,{'$oid': '5cc93274831b973d657f1b8a'},NULL,美国,9千克,36发/分,NULL,37毫米,12发,546毫米
德国HK公司,1972年,榴弹发射器,HK69A1式40毫米榴弹发射器,枪械与单兵,400米,{'$oid': '5cc93274831b973d657f1b8b'},NULL,德国,2.62千克,NULL,NULL,40毫米,1发,610毫米
西班牙圣塔·巴巴拉公司,1986年,榴弹发射器,AGL40 40毫米榴弹发射器,枪械与单兵,2200米,{'$oid': '5cc93274831b973d657f1b8c'},NULL,西班牙,30千克,200发/分,NULL,40毫米,50发,11毫米
NULL,1997年,榴弹发射器,QLZ87式35毫米自动榴弹发射器,枪械与单兵,1730米,{'$oid': '5cc93274831b973d657f1b8d'},NULL,中国,20千克,400发/分,NULL,35毫米,15发,NULL
NULL,1975年,榴弹发射器,AGS-17式30毫米榴弹发射器,枪械与单兵,1200米,{'$oid': '5cc93274831b973d657f1b8e'},NULL,苏/俄,17.8千克,65发/分,NULL,30毫米,29发,850毫米
美国海军军械研究所,1985年,榴弹发射器,Mk19-3式40毫米榴弹发射器,枪械与单兵,1500米,{'$oid': '5cc93274831b973d657f1b8f'},NULL,美国,63.7千克,100发/分,NULL,40毫米,NULL,1028毫米
NULL,1984年,榴弹发射器,GP-15式40毫米榴弹发射器,枪械与单兵,450米,{'$oid': '5cc93274831b973d657f1b90'},http://images.huanqiu.com/sarons/2014/03/381b527c46e936fe6105204214d0a2da.jpg,苏/俄,5.1千克,10发/分,NULL,40毫米,1发,350毫米
美国AAI公司,1970年,榴弹发射器,M203式40毫米榴弹发射器,枪械与单兵,350米,{'$oid': '5cc93274831b973d657f1b91'},NULL,美国,5千克,10发/分,NULL,40毫米,1发,388毫米
德国HK公司,1979年,榴弹发射器,HK79式40毫米榴弹发射器,枪械与单兵,350米,{'$oid': '5cc93274831b973d657f1b92'},NULL,德国,5.6千克,8发/分,NULL,40毫米,1发,NULL
美国航空喷气军械公司,1965年,榴弹发射器,XM174式40毫米榴弹发射器,枪械与单兵,400米,{'$oid': '5cc93275831b973d657f1b93'},NULL,美国,15.8千克,100发/分,NULL,40毫米,12发,712毫米
美国斯普林菲尔德兵工厂,1961年,榴弹发射器,美国M79式40毫米榴弹发射器,枪械与单兵,NULL,{'$oid': '5cc93275831b973d657f1b94'},NULL,美国,2.72千克,8发/分,"

",40毫米,NULL,731毫米
意大利吕吉•弗兰奇公司,NULL,榴弹发射器,GLF-90 多联榴弹发射器 ,枪械与单兵,NULL,{'$oid': '5cc93275831b973d657f1b95'},NULL,意大利,8千克,NULL,"

",5.56毫米,NULL,460毫米
NULL,1985年,榴弹发射器,南非MGL40毫米榴弹发射器,枪械与单兵,NULL,{'$oid': '5cc93275831b973d657f1b96'},NULL,南非,5.3千克,25发/分,NULL,40毫米,6发,777毫米
美国佩恩武器公司,20世纪60年代末期,榴弹发射器,美国L6式40毫米榴弹发射器,枪械与单兵,NULL,{'$oid': '5cc93275831b973d657f1b97'},NULL,美国,3.71千克,6发/分,"

",40毫米,NULL,584毫米
英国希尔顿枪械公司,20世纪90年代初期,榴弹发射器,英国“希尔顿” 多用途榴弹发射器,枪械与单兵,NULL,{'$oid': '5cc93275831b973d657f1b98'},NULL,英国,2.8千克,8发/分,"

",NULL,NULL,828毫米
