_id,图片,类型,名称,弹长,简介,研发单位,弹重,大类,弹径,制导系统,射程,研制时间,产国
{'$oid': '5cc93379831b973d657f215c'},,舰地（潜地）导弹,“海神”C3 潜射弹道导弹,10.36米,,美国洛克希德公司,29200千克,导弹武器,1.88米,惯性制导,4600千米,1970年,美国
{'$oid': '5cc93379831b973d657f215d'},,舰地（潜地）导弹,天狮星（SSM-N-8）巡航导弹,10.06米,"
美国海军早期海基巡航导弹，主要用以攻击城市和陆上战略目标初期型天狮星式亚音速双重能力巡航导弹，编号SSM-N-8。1947年研制，1952年投产，1955年服役，先后装备了11艘航空母舰、5艘巡洋舰和两艘潜艇。1960年停产，1964年退役。
",NULL,6590千克,导弹武器,1.37米,初期采用无线电指令制导系统，后改用惯性制导系统,960千米,1947年,美国
{'$oid': '5cc93379831b973d657f215e'},,舰地（潜地）导弹,“标准”Ⅳ(SM-4)对陆攻击型,4.72米,,NULL,750千克,导弹武器,0.34米,全球定位惯性导航系统,80千米,NULL,美国
{'$oid': '5cc93379831b973d657f215f'},,舰地（潜地）导弹,巨浪-2（JL-2/CSS-N-4）潜射洲际弹道导弹,13米,"
巨浪-2（JL-2，北约代号：CSS-NX-4）是中国第二代洲际潜射弹道导弹，设计为三段固体燃料推进火箭。最大射程7400-9000公里，可携带单个或3-6个核弹头。
将布署在094型核潜艇上，每艘可搭载12枚。巨浪-2与东风-31，两者有一定的技术渊源。
",NULL,42000千克,导弹武器,2.2米,电罗经、惯性和GPS,8000千米,2002年,中国
{'$oid': '5cc93379831b973d657f2160'},http://images.huanqiu.com/sarons/2013/11/ba4a653b80587fc05b19a7fc2305c6d7.jpg,舰地（潜地）导弹,UGM-96A“三叉戟”I(C4)潜射弹道导弹,10.39米,“三叉戟I”型C-4导弹，编号UGM-96A。该弹1971年开始研制，1976年12月投产，1977年1月进行首次飞行试验，1979年正式装备美国海军，2005年全部退役。由于采用了高效能推进系统、额外的第三节推进火箭和更先进的制导技术，导弹最大射程达到了7400千米，命中精度也提高到230至500米。,洛克希德•马丁公司,33000千克,导弹武器,1.88米,NULL,7400千米,1971年,美国
{'$oid': '5cc93379831b973d657f2161'},http://images.huanqiu.com/sarons/2013/11/a649dfffcfe4b3818f73fed1fdcb4b8a.jpg,舰地（潜地）导弹,BGM－109C型战斧规对陆攻击导弹,5.56米,BGM-109型“战斧”式巡航导弹作为美军远程打击的重要力量，是一种全天候、亚音速、多用途巡航导弹。该导弹属舰（潜）对地型，1981年初开始研制，1982年初装备潜艇，1983年6月装备水面舰船，主要用来装备攻击型核潜艇和护卫舰级以上的水面战舰，以攻击敌方海军航空兵基地指挥中心、桥梁、油库等陆上重要目标。,通用动力公司,1400千克,导弹武器,0.527米,惯性导航加地形匹配加数字式景象匹配区域相关器,1300千米,1981年,美国
{'$oid': '5cc9337a831b973d657f2162'},http://images.huanqiu.com/sarons/2013/11/7cb4af47618895a5d1d95a84b27e1d67.jpg,舰地（潜地）导弹,UGM-133三叉戟II（ Trident-IITrident D5）潜射弹道导弹,13.5米,1983年三叉戟II D-5/UGM-133A导弹正式开始了研制工作，1987年1月首枚导弹试射，1989年3月进行了首次水下发射，1990年3月三叉戟II D-5导弹宣布形成了初始作战能力。2009年12月19日，美国海军从位于大西洋上的俄亥俄级SSBN 732阿拉斯加号核潜艇上进行三叉戟II潜射洲际导弹发射成功。20年时间连续130次发射成功的成绩，已经接近了联盟火箭的134次连续发射成功记录，是三叉戟II导弹可靠性最好的证明，是美国海基核力量的当之无愧的支柱。,洛克希德•马丁公司,58900千克,导弹武器,2.11米,惯性测量装置，制导电子组件,11000千米,1983年1月,美国
{'$oid': '5cc9337a831b973d657f2163'},,舰地（潜地）导弹,VGM-27B“北极星”A2潜射弹道导弹,9.4米,“北极星”A-2潜射弹道导弹，代号VGM-27B，为A-1导弹的后继型1961年10月首枚导弹投入飞行试验，1962年后分别部署于5艘艾伦级和8艘拉菲特级核潜艇上，每艇16座导弹发射筒，水下垂直发射，利用燃气－蒸汽将导弹弹射出水面，当时共生产配备208枚A-2导弹。,NULL,13600千克,导弹武器,1.37米,惯性制导,2800千米,1961年,美国
{'$oid': '5cc9337a831b973d657f2164'},,舰地（潜地）导弹,长缨一号（CY-1）反舰反潜导弹,4.5米,"
CY-1“长缨一号”反舰反潜导弹，是以著名的C―801“鹰击”反舰导弹为基础，通过改装不同的战斗部而执行反舰反潜任务。
",NULL,610千克,导弹武器,0.36米,NULL,18千米,NULL,中国
{'$oid': '5cc9337a831b973d657f2165'},,舰地（潜地）导弹,UGM-27A“北极星A1”式潜射弹道导弹,8.69米,“北极星A1”式导弹是美国海军研制的第一代潜射中程弹道导弹，该弹既可供水面舰只使用，也可由潜艇水下发射。1957年研制，1960年导弹潜射试验成功，1961年装备美国海军核潜艇，成为当时美国核战略的一个重要组成部分。,美国洛克希德•马丁公司,12700千克,导弹武器,1.37米,惯性制导,2200千米,1957年,美国
