大类,翼展,类型,名称,引信,射程,制导系统,_id,图片,产国,研发单位,研制时间,弹长,简介,最大速度,弹径,弹重
导弹武器,0.33米,岸舰导弹,KAM-9反坦克导弹,NULL,4千米,NULL,{'$oid': '5cc933ab831b973d657f228c'},NULL,日本,日本川崎重工业公司,1964年,1.565米,"

",NULL,0.152米,30千克
导弹武器,2.4米,岸舰导弹,海鹰-2甲(HY-2A）岸舰导弹,NULL,100千米,自主式控制加自动导引地面火控系统,{'$oid': '5cc933ab831b973d657f228d'},http://images.huanqiu.com/sarons/2013/11/13c732d055b5574e267035acdcc210ea.jpg,中国,中国海鹰机电技术研究院,1965年,7.46米,"
海鹰二号岸舰导弹（HY-2），北约代号 C-SS-3 “眼动”（Saccade），出口型号名称C-201，是我国1960年代至1980年代研制服役的岸舰导弹。
",1013千米/小时,0.76米,513千克
导弹武器,2.4米,岸舰导弹,海鹰-4(HY-4/C-201W) 岸舰导弹,NULL,135千米,自主式控制加自动导引,{'$oid': '5cc933ab831b973d657f228e'},http://images.huanqiu.com/sarons/2013/11/5ed720a0835b034196dfee62a5383703.jpg,中国,中国海鹰机电技术研究院,1970年,7.36米,"
海鹰-4(HY-4)岸基反舰导弹，北约代号SSC-7""Sadsack""是在海鹰2（HY-2）反舰导弹基础上研制而成的，是HY-2增程改进型，出口型号为C-201W。两者最大的不同是C-201W用涡喷发动机取代了“海鹰-2”的液体火箭发动机，提高了射程。主要用于在复杂气象条件下摧毁大型水面舰只。
",957千米/小时,0.76米,1740千克
导弹武器,NULL,岸舰导弹,鹰击201（C-201）岸舰，舰舰导弹,NULL,120千米,自主式控制加自动导引,{'$oid': '5cc933ab831b973d657f228f'},NULL,中国,NULL,1960年,6.392米,NULL,80千米/小时,0.36米,715千克
导弹武器,2.4米,岸舰导弹,海鹰-1甲(HY-1A）岸/舰舰导弹,圆锥扫描雷达,85千米,NULL,{'$oid': '5cc933ac831b973d657f2290'},http://images.huanqiu.com/sarons/2013/11/f1437fb7c9b52a8bebbf398304b8c659.jpg,中国,飞航导弹研究院,1965年,6.6米,"
“海鹰”－1甲相比“海鹰”－1具有抗电子干扰、抗海浪干扰和提高突防能力的频率捷变雷达，较低的导弹平飞高度的无线电高度表，导弹平飞高度降至20米以下；还换装了具有30度扇面发射射界的新式自动驾驶仪。
",900千米/小时,0.76米,2300千克
导弹武器,2.4米,岸舰导弹,海鹰－2(HY-2/C-201)岸舰导弹,NULL,100千米,自主式控制加自动导引地面火控系统,{'$oid': '5cc933ac831b973d657f2291'},NULL,中国,中国海鹰机电技术研究院,1966年,7.36米,"
海鹰-2（HY-2）岸基反舰导弹导弹，北约代号CSSC-3""Seersucker""，海射版本CSS-N-2""Safflower""。（由中国海鹰机电技术研究院研制，西方称“蚕”式导弹。出口型号：C-201。
",1013千米/小时,0.76米,513千克
导弹武器,NULL,岸舰导弹,RBS15型反舰导弹,NULL,200千米,NULL,{'$oid': '5cc933ac831b973d657f2292'},http://images.huanqiu.com/sarons/2013/11/141e082cd054c7f8fa3767c8251e31f7.jpg,瑞典,萨伯动力公司,1979年,4.33米,"
RBS15反舰导弹系列是一套成熟的反舰导弹，可远程全天候昼夜打击目标，射程在200千米以上。RBS15反舰导弹抗电子干扰能力强，突防能力极强，其末段飞行弹道高度极低，可进行规避机动飞行，并重新攻击目标。
",NULL,0.5米,800千克
导弹武器,NULL,岸舰导弹,79式“重马特”反坦克导弹,NULL,4千米,NULL,{'$oid': '5cc933ac831b973d657f2293'},NULL,日本,日本川崎重工,1964年,1.565米,"
该导弹既可攻击地面坦克装甲车辆，也可在反登陆作战中攻击小型登陆舰艇，起到海岸炮的作用。这是日本重型反坦克导弹的重要特点，并被一直延续下去。
",NULL,0.152米,103千克
导弹武器,NULL,岸舰导弹,3M54E俱乐部反舰导弹,NULL,300千米,NULL,{'$oid': '5cc933ac831b973d657f2294'},http://images.huanqiu.com/sarons/2013/11/199c4a8c33316525286623c89fd1781f.jpg,苏/俄,诺瓦托尔设计局,1990年,8.22米,"
“俱乐部”导弹由俄罗斯的“花岗岩”－M巡航导弹发展而来。“花岗岩”－M导弹类似于美国的“战斧”式巡航导弹，由潜艇发射，由它发展出来的导弹有两种，分别是3M54E－1亚音速反舰导弹和3M54E“俱乐部”超音速反舰导弹。也许是因为出自同门的原因，再加上编号如此相近，以至西方甚至俄罗斯媒体都不加区别地将它们统称为“俱乐部”导弹。但是据革新家设计局称，“俱乐部”导弹仅仅指3M54E超音速反舰导弹,俄罗斯“俱乐部”导弹的北约代号是 SS-N-27“炙热”。
",3552千米/小时,5.33米,2300千克
导弹武器,NULL,岸舰导弹,88式岸对舰导弹（SSM-1）,NULL,150千米,NULL,{'$oid': '5cc933ac831b973d657f2295'},http://images.huanqiu.com/sarons/2013/11/d8fbb9e8f5364118793e6472ef130844.jpg,日本,三菱重工,NULL,5米,"
SSM-1从空射的ASM-1反舰导弹改良来的二代导弹，另外还有两种型：空射（ASM-1C）和船射（SSM-1B）。基本配置编队中每辆74式运输卡车也同时是发射平台（6枚SSM-1），还要搭配一些雷达车或路基雷达，火控系统车，指挥协调车。也有雷达、火控、指挥合一的“支援车”。
",1150千米/小时,0.35米,660千克
导弹武器,1.4米,岸舰导弹,尔布斯15 -3 ,NULL,250千米,NULL,{'$oid': '5cc933ad831b973d657f2296'},http://images.huanqiu.com/sarons/2014/01/5337c58cdb5e61c02278cf6d47c405d8.jpg,瑞典,NULL,1994年,4.45米,NULL,NULL,0.5米,NULL
