大类,类型,名称,射程,制导系统,_id,图片,产国,研制时间,弹长,研发单位,简介,最大速度,弹径,弹重
导弹武器,舰空导弹,“拉姆”（RAM）防空导弹,9千米,红外线制导、被动雷达制导,{'$oid': '5cc93388831b973d657f21c4'},NULL,美国,1979年,2.82米,NULL,"
“拉姆”导弹系统是一种近程、低空舰载防空导弹系统，又名“滚转弹体”舰空导弹系统。主要装备于各种水面舰艇，用于拦击反舰导弹和低空飞机。该系统由美国和德国联合研制，但因经费及鉴定试验受挫而一度搁浅，最近美国海军决定，在改进型的“阿利·伯克”级驱逐舰上加装该系统。
",NULL,0.127米,73.5千克
导弹武器,舰空导弹,RIM-66A 标准-1（SM-1）中程导弹,NULL,NULL,{'$oid': '5cc93388831b973d657f21c5'},NULL,美国,1965年,NULL,NULL,NULL,NULL,NULL,NULL
导弹武器,舰空导弹,猎鹰60N面空导弹,12千米,NULL,{'$oid': '5cc93389831b973d657f21c6'},http://images.huanqiu.com/sarons/2013/11/b8404f7f0a6fa5a002d3576596de3886.jpg,中国,NULL,3.89米,NULL,"
1988年巴基斯坦政府与英国政府成立了一个共同委员会，探讨未来巴基斯坦在防务方面的需求，双方于1992年达成了购买6艘21型“女将”级护卫舰的协议。从1993年7月至1994年9月，巴基斯坦接收了所有6艘护卫舰，并被命名为“启明星”级。这些卫舰经过巴基斯坦改装，部分安装了美制“鱼叉”反舰导弹和中国提供的LY-60N(N代表海军型)型面空导弹。巴基斯坦是中国LY-60导弹的第一个国外用户。
",NULL,NULL,220千克
导弹武器,舰空导弹,FLS-1舰载近程防空导弹系统,NULL,NULL,{'$oid': '5cc93389831b973d657f21c7'},NULL,中国,NULL,NULL,NULL,"
中国航天科工集团公司FLS-1是一种建立在QW-3防空导弹基础上的舰载轻型近程防空导弹系统，该型导弹已装备中国导弹艇。
",NULL,NULL,NULL
导弹武器,舰空导弹,海红旗-9(HHQ-9)防空导弹,150千米,无线电指令加末端主动雷达导引,{'$oid': '5cc93389831b973d657f21c8'},http://images.huanqiu.com/sarons/2013/11/d180a0e2a7a66cb10fec4a2c6bd39016.jpg,中国,NULL,6.8米,NULL,"
海红旗-9防空导弹，英文代号HHQ-9，是中国人民解放军海军（PLAN）目前的制式中远程区域防空导弹，装备在052C型防空驱逐舰上。它是人民海军现阶段两种中远程区域防空导弹之一，为水面舰队提供完整的远程防空保护。
",NULL,0.47米,1300千克
导弹武器,舰空导弹,AIM-7“海麻雀”空空导弹,55千米,NULL,{'$oid': '5cc93389831b973d657f21c9'},http://images.huanqiu.com/sarons/2013/11/aad56f26063a7447dbf932e2772315a7.jpg,美国,1964年,3.64米,NULL,"
AIM-7“海麻雀”导弹是美国的一种中程半主动雷达制导的空对空导弹。AIM-7是西方国家在1950年代至1990年代间最主要的超视距空战武器。它现在仍在许多国家服役中，但更先进的AIM-120先进中程空对空导弹正逐步取代它。

RIM-7海麻雀是以AIM-7为基础发展的舰载近距离防空导弹，美国海军现以海麻雀作船只防空之用。MIM-7则是AIM-7的陆上版。
",NULL,0.203米,225千克
导弹武器,舰空导弹,RIM-66D“标准Ⅱ”舰空导弹,170千米,惯性导引，末段半主动雷达导引,{'$oid': '5cc93389831b973d657f21ca'},http://images.huanqiu.com/sarons/2013/11/e551216444641ec155691aed4b63c2b7.jpg,美国,NULL,4.72米,美国通用动力公司,"
RIM-66D“标准Ⅱ”导弹是美国海军“标准”系统舰空导弹的最新型号，主要装备“宙斯盾”型巡洋舰和驱逐舰，用于舰队区域防空。该导弹由美国通用动力公司研制，由RIM-66B型改进而成，1983年装备部队。
",NULL,0.34米,707千克
导弹武器,舰空导弹,海红旗-7(HHQ-7)舰空导弹,8.5千米,半主动雷达/光学制导,{'$oid': '5cc93389831b973d657f21cb'},NULL,中国,NULL,3米,NULL,"
海红旗-7防空导弹，英文代号HHQ-7。中国海军目前的制式点防空导弹。广泛装备在人民海军的非专职防空水面舰艇上，作为舰艇自身的点防空之用。
",NULL,0.156米,84.5千克
导弹武器,舰空导弹,小猎犬(RIM-2)舰空导弹,32千米,乘波制导；半主动雷达制导,{'$oid': '5cc93389831b973d657f21cc'},NULL,美国,1949年,8.23米,NULL,"
小猎犬防空导弹是美国第一代面防御舰对空导弹系统，它是美国海军第一个装备的，具有全天候、中程、中低空防空能力的舰对空导弹系统，原用代号为SAM-N-7，后改为RIM-2，它与“黄铜骑士”、“鞑靼人”一起合称美国的“三T”导弹系统。这是美国海军第一个装备的，具有全天候、中程、中低空防空能力的舰对空导弹系统，主要用于防御中低空攻击的各类飞机。
",NULL,0.342米,1360千克
导弹武器,舰空导弹,“标准”Ⅲ(SM-3)反弹道导弹,500千米,GPS/INS/半主动雷达制导/被动式红外线搜寻（KW）,{'$oid': '5cc9338a831b973d657f21cd'},http://images.huanqiu.com/sarons/2013/11/8fff22fdbed4c1645b7d43190266ccae.jpg,美国,NULL,6.55米,NULL,"
RIM-161标准三型导弹，是美国海基战区导弹防御系统(TMD)的重要一环，用来拦截中，远程弹道导弹。SM-3导弹也可以当作反卫星武器（Anti-satellite weapon）来使用，可以来对抗位于近地轨道近端的卫星。目前SM-3导弹主要用于美国海军，日本海上自卫队及荷兰皇家海军也有使用。
",NULL,0.34米,NULL
