_id,战斗射速,图片,参战情况,口径,类型,名称,生产年限,简介,全枪重,有效射程,全枪长,数量,制造商,弹匣容弹量,大类,刀长,发射性能,产国,关注度
{'$oid': '5cc93229831b973d657f194a'},30发/分,,1983年尼加拉瓜反政府武装,7.62毫米,自动步枪,VZ52自动步枪,1952年-1959年,,4.1千克,400米,1003毫米,NULL,前捷克斯洛伐克切斯卡·兹布罗约夫卡兵工厂,10发,枪械与单兵,NULL,自动步枪,捷克,NULL
{'$oid': '5cc93229831b973d657f194b'},800发/分,http://images.huanqiu.com/sarons/2013/07/91c71bbc6308f908eb4825850e2597d2.jpg,越战尼日利亚内战南非边境战争厄立特里亚独立战争阿富汗战争 (2001年)伊拉克战争2011年利比亚内战,7.62毫米,自动步枪,VZ58自动步枪,1959年-1980年,,3.1千克,400米,820毫米,NULL,乌尔斯基·布罗德国营兵工厂,30发,枪械与单兵,NULL,自动步枪,捷克,NULL
{'$oid': '5cc93229831b973d657f194c'},1000发/分,http://images.huanqiu.com/sarons/2013/07/35d47660d718c8d31f2d0c1359c710f3.jpg,伊拉克战争，2001年阿富汗战争，持久自由行动， 2006年以黎冲突，哥伦比亚武装冲突 ，2008年南奥塞梯战争，2011年利比亚内战，2011年叙利亚内战，墨西哥毒品战争，2013年拿笃冲突,5.56毫米,自动步枪,美国M4卡宾枪,1984年,,2.5千克,600米,840毫米,NULL,美国柯尔特公司,30发,枪械与单兵,NULL,自动步枪,美国,(4.8分)
{'$oid': '5cc93229831b973d657f194d'},750发/分,http://images.huanqiu.com/sarons/2014/03/aebb39e3c66d04af6174f804f04a7c65.jpg,NULL,5.56毫米,自动步枪,日本89式突击步枪,1990年,89式5.56毫米步枪是丰和64式7.62毫米自动步枪的后继，并由丰和工业基于美制AR-18突击步枪开发而成。亦是根据NATO标准的5.56毫米口径突击步枪。日本自卫队于1989年开始配备前线及使用。另外，89式亦在日本海上保安厅及日本警察的特殊急袭部队中配备及使用。,3.5千克,500米,916毫米,NULL,日本丰和工业,30发,枪械与单兵,NULL,自动枪支,日本,(4.7分)
{'$oid': '5cc93229831b973d657f194e'},650发/分,http://images.huanqiu.com/sarons/2014/03/b95affa71bf0a0beaf1202575941f5ef.jpg,NULL,5.8毫米,自动步枪,97式突击步枪,NULL,,3.25千克,400米,745毫米,NULL,中国北方工业总公司,NULL,枪械与单兵,NULL,NULL,中国,(4.7分)
{'$oid': '5cc93229831b973d657f194f'},100发/分,http://images.huanqiu.com/sarons/2013/07/85f776dd6863bc4dfc6ffa63f1292d3b.jpg,斯里兰卡内战，2008年柬泰边境冲突，中国海军索马里护航行动,5.8毫米,自动步枪,中国95式步枪,1995年,"
95式自动步枪（QBZ-95，QBZ为源自拼音“枪-步-自动”的类别代码），是由中国兵器装备集团公司208研究所研制的突击步枪，主设计师为中国工程院院士朵英贤，属于95式枪族的一部分，为目前中国人民解放军的制式自动步枪之一，它是中国研制的第二种小口径步枪，也是解放军第一种大规模列装部队的小口径自动步枪。该枪于1997年的香港回归交接仪式上首次出现在公众视线中。
",3.3千克,400米,743毫米,NULL,中国兵器装备集团公司,30发,枪械与单兵,NULL,NULL,中国,(4.5分)
{'$oid': '5cc93229831b973d657f1950'},900发/分,http://images.huanqiu.com/sarons/2013/07/22aca7b47de3f6bb18fd9965a3805d59.jpg,2001年阿富汗战争伊拉克战争海神之矛行动,5.56毫米,自动步枪,赫克勒-科赫HK 416自动步枪,2005年,"
所谓的HK416步枪，原产于德国，是由黑克勒-科赫公司研发，现在美国也有生产。由HK公司对英国SA80和M16进行改装，HK 416的研制目的在于提供一款性能比长期服役的M16突击步枪更优越的武器。它采用短行程导气式自动方式，而不像M16系列那样使用直接气体驱动系统。该枪对M16的基本设计做了重大改进，将一体化合金前托换成了由两部分组成的聚合材料前托，并采用浮动式枪管。装备可折叠的机械瞄具，因为标准配置是使用光学和夜视瞄准设备。据了解，HK416步枪是“海豹”特种部队的完美武器，标准型HK416步枪可以在浸水后，没有完全干燥时进行射击，在打出近20000发子弹后，其射击精确度只会有微弱的下降。 
",3.5千克,450米,886毫米,NULL,黑克勒-科赫(HK公司),30发,枪械与单兵,NULL,自动,德国,(4.9分)
{'$oid': '5cc93229831b973d657f1951'},1000发/分,http://images.huanqiu.com/sarons/2013/11/2ea4c94738c2eee2c7ac937baeb8d335.jpg,NULL,7.62毫米,自动步枪,AK-12突击步枪,2011年至今,,3.3千克,1100米,945毫米,NULL,伊茨玛希工厂,60发,枪械与单兵,NULL,NULL,苏/俄,(4.6分)
{'$oid': '5cc93229831b973d657f1952'},100发/分,,中印边境战争、中苏边界冲突、 越南战争、中越边境战争等,7.62毫米,自动步枪,中国56式突击步枪,1958年,"
 56式自动步枪的原型是AK-47／AKM。AK-47的机匣为实心钢制，而后来的AKM采用冲压金属机匣，中国的枪型全部称为56式。
",3.8千克,400米,874毫米,NULL,NULL,30发,枪械与单兵,NULL,自动枪支,中国,(4分)
{'$oid': '5cc93229831b973d657f1953'},NULL,http://images.huanqiu.com/sarons/2014/03/068218225775107ec2036cfb0dc2bee8.jpg,两山战役，斯里兰卡内战，伊拉克战争，叙利亚内战,7.62毫米,自动步枪,81式自动步枪,1983年,,3.4千克,600米,955毫米,NULL,NULL,30发,枪械与单兵,NULL,NULL,中国,(5分)
{'$oid': '5cc9322a831b973d657f1954'},500发/分,http://images.huanqiu.com/sarons/2013/08/3a5d30761b4d9a9d11ee2e483d064211.jpg,NULL,7.62毫米,自动步枪,日本64式自动步枪,1957年,,4.4千克,400米,990毫米,NULL,日本丰和机械有限公司,20发,枪械与单兵,700毫米,自动枪支,日本,NULL
{'$oid': '5cc9322a831b973d657f1955'},650发/分,http://images.huanqiu.com/sarons/2013/08/a922a43afcab11deca5b63cced138336.jpg,NULL,5.45毫米,自动步枪,卡拉什尼科夫1974（AK-74）突击步枪,1975年至今,"
AK-74是前苏联装备的第一种小口径突击步枪，也是世界上大规模装备部队的第二种小口径步枪（第一种是美国的5.56毫米M16），首次露面是在1974年11月7日的莫斯科红场阅兵仪式上，在1980年代是前苏联军队制式装备AK-74在很多国家也有装备，包括特许生产及仿制型如东德的MPi-KM-74、MPI-KMS-74、MPI-AKR-74波兰的WZ. 1988 Tantal、WZ. 1989 Onyks，罗马尼亚的AI-74、AIS-74，保加利亚的AKK-74等。
",3.9千克,400米,928毫米,NULL,伊孜玛什公司,30发,枪械与单兵,NULL,自动枪支,苏/俄,(4.8分)
{'$oid': '5cc9322a831b973d657f1956'},650发/分,http://images.huanqiu.com/sarons/2013/08/44e9119ad052d52aac40f5f012e820af.jpg,阿富汗战争 (2001年)伊拉克战争2011年叙利亚内战墨西哥毒品战争,5.56毫米,自动步枪,斯太尔-曼利夏AUG自动步枪,1978年,"
斯太尔-曼利夏AUG自动步枪是1977年奥地利公司斯泰尔-曼利夏（Steyr Mannlicher）推出的军用自动步枪，是史上首次正式列装、实际采用犊牛式设计的军用步枪。“AUG”是德文“Armee-Universal-Gewehr”的缩写，意即“陆军通用步枪”。该枪专门为奥地利陆军设计，于1979年开始装备使用。此后，该枪先后被爱尔兰、澳大利亚、多个中东国家、美国海关部门、福克兰群岛防卫军采用。
",3.9千克,800米,790毫米,NULL,斯泰尔-曼利夏 （Steyr Mannlicher）,42发,枪械与单兵,NULL,自动,奥地利,NULL
{'$oid': '5cc9322a831b973d657f1957'},650发/分,,NULL,7.62毫米,自动步枪,萨科M90自动步枪,1991年-1999年,,4.7千克,719米,1060毫米,NULL,芬兰萨科公司,30发,枪械与单兵,NULL,NULL,芬兰,NULL
{'$oid': '5cc9322a831b973d657f1958'},750发/分,http://images.huanqiu.com/sarons/2013/07/f9312d65853a65b6e7ce37a338660792.jpg,NULL,5.56毫米,自动步枪,赫克勒-科赫HK33E自动步枪,1968年,70年代初，德国赫克勒-科赫有限公司为出口研制了一种5.56毫米小口径步枪，称之为HK33E式。该枪是在G3式7.62毫米自动步枪的基础上改进而成的，实际上它是G3式步枪的缩小型。,734千克,400米,940毫米,NULL,德国赫克勒-科赫公司,25发,枪械与单兵,NULL,自动步枪,德国,NULL
{'$oid': '5cc9322a831b973d657f1959'},600发/分,http://images.huanqiu.com/sarons/2013/08/67431a5b7fcbeecab2c3818535246789.jpg,NULL,8毫米,自动步枪,MP44自动步枪,1943年-1945年,STG44突击步枪（Sturmgewehr 44，定型投产时名称MP44），是现代步兵史上划时代的成就之一。它是首先使用了短药筒的中间型威力枪弹并大规模装备的自动步枪。,5.2千克,300米,940毫米,425977,黑内尔公司,30发,枪械与单兵,NULL,自动步枪,德国,NULL
{'$oid': '5cc9322a831b973d657f195a'},900发/分,http://images.huanqiu.com/sarons/2013/07/6af89dd8c8c59dd2ac6ecfcf3e444b29.jpg,海湾战争中的沙漠风暴行动及其他维持和平行动,5.56毫米,自动步枪,法玛斯自动步枪,1975年,,3.61千克,300米,757毫米,NULL,法国GIAT集团下属的圣·艾蒂安兵工厂,25发,枪械与单兵,NULL,自动步枪,法国,NULL
{'$oid': '5cc9322a831b973d657f195b'},800发/分,http://images.huanqiu.com/sarons/2013/08/be7037700a94ea66cd92d592673607ba.jpg,NULL,7.62毫米,自动步枪,瓦尔梅特M76自动步枪,1976年-1986年,,4.6千克,600米,1135毫米,NULL,芬兰瓦尔梅特公司,30发,枪械与单兵,NULL,自动步枪,芬兰,NULL
{'$oid': '5cc9322b831b973d657f195c'},600发/分,http://images.huanqiu.com/sarons/2013/07/ed42bd89823f61d49f8cce72e1af3ae4.jpg,NULL,7.62毫米,自动步枪,赫克勒-科赫G36自动步枪,1995年,,7.58千克,400米,1025毫米,NULL,德国赫克勒-科赫公司（H&K）,30发,枪械与单兵,NULL,自动步枪,德国,NULL
{'$oid': '5cc9322b831b973d657f195d'},850发/分,http://images.huanqiu.com/sarons/2013/08/9492a2424ff1bdef0dfc5f45ac99b2fc.jpg,机敏行动（Operation Astute），阿富汗战争，2011年利比亚内战，墨西哥毒品战争,5.56毫米,自动步枪,FN 2000突击步枪,2001年,"
FN2000是由比利时公司Fabrique Nationale所制造的一种突击步枪。2001年3月在阿拉伯联合酋长国阿布扎比举行的IDEX展览会上首次正式展示。FN 2000是Fabrique Nationale唯一一种犊牛式突击步枪。该枪是一款采用模块化设计的无枪托突击步枪，采用导气式自动方式的回转式枪机由硕大的聚合材料外壳包裹，同时可用于执行特殊战斗任务。
",3.6千克,500米,694毫米,NULL,Fabrique Nationale（简称FN，没有正式中文译名）,30发,枪械与单兵,NULL,气动式、转拴式枪机,比利时,NULL
{'$oid': '5cc9322b831b973d657f195e'},650发/分,http://images.huanqiu.com/sarons/2013/08/1c585cc9342014c358234327fa9044ae.jpg,NULL,5.56毫米,自动步枪,INSAS突击步枪,1999年,"
印度INSAS（印度小型火器系统的缩写，Indian Small Arms System）突击步枪，是印度生产的步枪，采用了国外多种武器的结构，印度在其基础上还发展了一种重枪管型。
",3.2千克,885米,945毫米,NULL,武器研究与开发部,22发,枪械与单兵,NULL,NULL,印度,NULL
{'$oid': '5cc9322b831b973d657f195f'},850发/分,,2007年黎巴嫩冲突,5.56毫米,自动步枪,赫克勒-科赫G41自动步枪,1983年,,4.1千克,910米,997毫米,NULL,德国赫克勒&科赫防务公司(H&K),30发,枪械与单兵,NULL,自动步枪,德国,NULL
