大类,类型,名称,射程,制导系统,_id,图片,产国,研发单位,研制时间,弹长,简介,弹径,弹重
导弹武器,舰地（潜地）导弹,“海神”C3 潜射弹道导弹,4600千米,惯性制导,{'$oid': '5cc93379831b973d657f215c'},NULL,美国,美国洛克希德公司,1970年,10.36米,NULL,1.88米,29200千克
导弹武器,舰地（潜地）导弹,天狮星（SSM-N-8）巡航导弹,960千米,初期采用无线电指令制导系统，后改用惯性制导系统,{'$oid': '5cc93379831b973d657f215d'},NULL,美国,NULL,1947年,10.06米,"
美国海军早期海基巡航导弹，主要用以攻击城市和陆上战略目标初期型天狮星式亚音速双重能力巡航导弹，编号SSM-N-8。1947年研制，1952年投产，1955年服役，先后装备了11艘航空母舰、5艘巡洋舰和两艘潜艇。1960年停产，1964年退役。
",1.37米,6590千克
导弹武器,舰地（潜地）导弹,“标准”Ⅳ(SM-4)对陆攻击型,80千米,全球定位惯性导航系统,{'$oid': '5cc93379831b973d657f215e'},NULL,美国,NULL,NULL,4.72米,NULL,0.34米,750千克
导弹武器,舰地（潜地）导弹,巨浪-2（JL-2/CSS-N-4）潜射洲际弹道导弹,8000千米,电罗经、惯性和GPS,{'$oid': '5cc93379831b973d657f215f'},NULL,中国,NULL,2002年,13米,"
巨浪-2（JL-2，北约代号：CSS-NX-4）是中国第二代洲际潜射弹道导弹，设计为三段固体燃料推进火箭。最大射程7400-9000公里，可携带单个或3-6个核弹头。
将布署在094型核潜艇上，每艘可搭载12枚。巨浪-2与东风-31，两者有一定的技术渊源。
",2.2米,42000千克
导弹武器,舰地（潜地）导弹,UGM-96A“三叉戟”I(C4)潜射弹道导弹,7400千米,NULL,{'$oid': '5cc93379831b973d657f2160'},http://images.huanqiu.com/sarons/2013/11/ba4a653b80587fc05b19a7fc2305c6d7.jpg,美国,洛克希德•马丁公司,1971年,10.39米,“三叉戟I”型C-4导弹，编号UGM-96A。该弹1971年开始研制，1976年12月投产，1977年1月进行首次飞行试验，1979年正式装备美国海军，2005年全部退役。由于采用了高效能推进系统、额外的第三节推进火箭和更先进的制导技术，导弹最大射程达到了7400千米，命中精度也提高到230至500米。,1.88米,33000千克
导弹武器,舰地（潜地）导弹,BGM－109C型战斧规对陆攻击导弹,1300千米,惯性导航加地形匹配加数字式景象匹配区域相关器,{'$oid': '5cc93379831b973d657f2161'},http://images.huanqiu.com/sarons/2013/11/a649dfffcfe4b3818f73fed1fdcb4b8a.jpg,美国,通用动力公司,1981年,5.56米,BGM-109型“战斧”式巡航导弹作为美军远程打击的重要力量，是一种全天候、亚音速、多用途巡航导弹。该导弹属舰（潜）对地型，1981年初开始研制，1982年初装备潜艇，1983年6月装备水面舰船，主要用来装备攻击型核潜艇和护卫舰级以上的水面战舰，以攻击敌方海军航空兵基地指挥中心、桥梁、油库等陆上重要目标。,0.527米,1400千克
导弹武器,舰地（潜地）导弹,UGM-133三叉戟II（ Trident-IITrident D5）潜射弹道导弹,11000千米,惯性测量装置，制导电子组件,{'$oid': '5cc9337a831b973d657f2162'},http://images.huanqiu.com/sarons/2013/11/7cb4af47618895a5d1d95a84b27e1d67.jpg,美国,洛克希德•马丁公司,1983年1月,13.5米,1983年三叉戟II D-5/UGM-133A导弹正式开始了研制工作，1987年1月首枚导弹试射，1989年3月进行了首次水下发射，1990年3月三叉戟II D-5导弹宣布形成了初始作战能力。2009年12月19日，美国海军从位于大西洋上的俄亥俄级SSBN 732阿拉斯加号核潜艇上进行三叉戟II潜射洲际导弹发射成功。20年时间连续130次发射成功的成绩，已经接近了联盟火箭的134次连续发射成功记录，是三叉戟II导弹可靠性最好的证明，是美国海基核力量的当之无愧的支柱。,2.11米,58900千克
导弹武器,舰地（潜地）导弹,VGM-27B“北极星”A2潜射弹道导弹,2800千米,惯性制导,{'$oid': '5cc9337a831b973d657f2163'},NULL,美国,NULL,1961年,9.4米,“北极星”A-2潜射弹道导弹，代号VGM-27B，为A-1导弹的后继型1961年10月首枚导弹投入飞行试验，1962年后分别部署于5艘艾伦级和8艘拉菲特级核潜艇上，每艇16座导弹发射筒，水下垂直发射，利用燃气－蒸汽将导弹弹射出水面，当时共生产配备208枚A-2导弹。,1.37米,13600千克
导弹武器,舰地（潜地）导弹,长缨一号（CY-1）反舰反潜导弹,18千米,NULL,{'$oid': '5cc9337a831b973d657f2164'},NULL,中国,NULL,NULL,4.5米,"
CY-1“长缨一号”反舰反潜导弹，是以著名的C―801“鹰击”反舰导弹为基础，通过改装不同的战斗部而执行反舰反潜任务。
",0.36米,610千克
导弹武器,舰地（潜地）导弹,UGM-27A“北极星A1”式潜射弹道导弹,2200千米,惯性制导,{'$oid': '5cc9337a831b973d657f2165'},NULL,美国,美国洛克希德•马丁公司,1957年,8.69米,“北极星A1”式导弹是美国海军研制的第一代潜射中程弹道导弹，该弹既可供水面舰只使用，也可由潜艇水下发射。1957年研制，1960年导弹潜射试验成功，1961年装备美国海军核潜艇，成为当时美国核战略的一个重要组成部分。,1.37米,12700千克
导弹武器,舰地（潜地）导弹,VGM－27C“北极星”A3潜射弹道导弹,4600千米,惯性制导,{'$oid': '5cc9337a831b973d657f2166'},NULL,美国,洛克希德导弹与空间公司,1960年,9.85米,北极星A-3”是A-2的后继型。导弹代号UGM-27C。1960年美国决定发展4600千米射程的“北极星A-3”导弹，以提高海基战略导弹武器系统的突击能力、突防能力和生存能力。总的研制前提是在总体尺寸变化不大的情况下使射程增至4600千米。这就要求尽可能采用先进的设计和工艺，最大限度地减轻结重量和提高性能。,1.37米,229千克
导弹武器,舰地（潜地）导弹,巨浪-1（JL-1/CSS-N-3）潜射弹道导弹,3000千米,惯性陀螺，弹载计算机,{'$oid': '5cc9337a831b973d657f2167'},NULL,中国,NULL,1969年,10.7米,是中国第一种使用固体燃料的弹道导弹，装备于夏级（092）战略核潜艇。1969年开始研制，1982年10月由高尔夫级传统动力弹道导弹潜艇水下发射成功，1988年9月核潜艇水下发射成功。,1.4米,14700千克
导弹武器,舰地（潜地）导弹,海基K-15弹道导弹,700千米,NULL,{'$oid': '5cc9337b831b973d657f2168'},NULL,印度,NULL,NULL,10米,海基K-15导弹由印度国防研究与发展组织研发，射程约700公里，长10米，直径一米，发射重量约为10吨，常规有效载核达到500公斤，可携带战术核弹头。度海军将具备进行水下核打击的能力。但K-15是一种不合格的战略导，不仅弹射程短，而且它的投掷重量太小。,1米,10000千克
导弹武器,舰地（潜地）导弹,石榴石亚声速巡航导弹,3000千米,等高线地形匹配（TERCOM）辅助惯性导航系统,{'$oid': '5cc9337b831b973d657f2169'},http://images.huanqiu.com/sarons/2013/11/594ba8b14a8e8d65971078ad4661f452.jpg,苏/俄,NULL,1978年,8.9米,俄罗斯石榴石亚声速巡航导弹又称SS-N-21远程巡航导弹，是一种核常兼备、战略战术一体的多用途巡航导弹，是冷战时期的美苏军备竞赛的产物。该弹在产生背景、外形，性能以及作战使用上，与美国的BGM-109/AGM-86“战斧”巡航导弹都有相似之外，同时对俄巡航导弹武器的发展有着重大影响。俄重新对SS-N-21远程战术巡航导弹给予重视，表明俄将突破冷战时期制约该弹发展的条约羁绊，强化其核力量建设，应对美国的威胁。,0.51米,1700千克
导弹武器,舰地（潜地）导弹,SS-N-20潜基弹道导弹,8300千米,惯性制导,{'$oid': '5cc9337b831b973d657f216a'},NULL,苏/俄,NULL,1980年,16米,"
“鲟鱼” 别名：Sturgeon,北约代号：SS－N－20，潜基弹道导弹（前苏联编号：R-39）是俄罗斯海军新型潜地战略弹道导弹，是分导式多弹头三级固体潜地导弹，也是当代最大的潜射导弹，分导式多弹头各有6～9个子弹，各子弹核当量20万吨。
",2.4米,3500千克
导弹武器,舰地（潜地）导弹,“大地”海军型（“丹奴什”或“长弓”）导弹,150千米,惯性制导,{'$oid': '5cc9337b831b973d657f216b'},NULL,印度,NULL,20世纪90年代,8.53米,“大地”海军型（又称“丹奴什”或“长弓”）导弹是“大地”（Prithvi）近程弹道导弹的海军版，射程达350千米，能携带500公斤的常规或核弹头。此次试射任务由印度海军战略部队司令部成功完成，所有的任务目标也全部实现。该型导弹能用作反舰武器，并且还能在一定的距离范围内摧毁陆上目标。,0.9米,4000千克
