_id,战斗射速,图片,口径,类型,名称,生产年限,简介,全枪重,有效射程,全枪长,制造商,弹匣容弹量,大类,产国
{'$oid': '5cc93273831b973d657f1b88'},NULL,,40毫米,榴弹发射器,40毫米齐射榴弹发射器,1990年,,15千克,300米,330毫米,德国HK公司,10发,枪械与单兵,德国
{'$oid': '5cc93273831b973d657f1b89'},NULL,http://images.huanqiu.com/sarons/2014/01/4adbc1e572575a9338a01a095716423b.jpg,40毫米,榴弹发射器,M320榴弹发射器,2008年9月,"
M320榴弹发射器模组（M320 Grenade Launcher Module，GLM）的设计起源于美军要求以新的单发40毫米榴弹发射器以替换M203榴弹发射器。

2006年，成功中标的黑克勒-科赫提供其设计的XM320给美军试验（X代表试验型号（experimental）），完成试验后将改称为M320，据ArmyTimes的消息指M320将在2008年9月正式投产。
",NULL,NULL,350毫米,黑克勒-科赫,NULL,枪械与单兵,美国
{'$oid': '5cc93274831b973d657f1b8a'},36发/分,,37毫米,榴弹发射器,MM-1式37毫米榴弹发射器,20世纪80年代,,9千克,137米,546毫米,美国霍克工程公司,12发,枪械与单兵,美国
{'$oid': '5cc93274831b973d657f1b8b'},NULL,,40毫米,榴弹发射器,HK69A1式40毫米榴弹发射器,1972年,,2.62千克,400米,610毫米,德国HK公司,1发,枪械与单兵,德国
{'$oid': '5cc93274831b973d657f1b8c'},200发/分,,40毫米,榴弹发射器,AGL40 40毫米榴弹发射器,1986年,,30千克,2200米,11毫米,西班牙圣塔·巴巴拉公司,50发,枪械与单兵,西班牙
{'$oid': '5cc93274831b973d657f1b8d'},400发/分,,35毫米,榴弹发射器,QLZ87式35毫米自动榴弹发射器,1997年,,20千克,1730米,NULL,NULL,15发,枪械与单兵,中国
{'$oid': '5cc93274831b973d657f1b8e'},65发/分,,30毫米,榴弹发射器,AGS-17式30毫米榴弹发射器,1975年,,17.8千克,1200米,850毫米,NULL,29发,枪械与单兵,苏/俄
{'$oid': '5cc93274831b973d657f1b8f'},100发/分,,40毫米,榴弹发射器,Mk19-3式40毫米榴弹发射器,1985年,,63.7千克,1500米,1028毫米,美国海军军械研究所,NULL,枪械与单兵,美国
{'$oid': '5cc93274831b973d657f1b90'},10发/分,http://images.huanqiu.com/sarons/2014/03/381b527c46e936fe6105204214d0a2da.jpg,40毫米,榴弹发射器,GP-15式40毫米榴弹发射器,1984年,,5.1千克,450米,350毫米,NULL,1发,枪械与单兵,苏/俄
{'$oid': '5cc93274831b973d657f1b91'},10发/分,,40毫米,榴弹发射器,M203式40毫米榴弹发射器,1970年,,5千克,350米,388毫米,美国AAI公司,1发,枪械与单兵,美国
{'$oid': '5cc93274831b973d657f1b92'},8发/分,,40毫米,榴弹发射器,HK79式40毫米榴弹发射器,1979年,,5.6千克,350米,NULL,德国HK公司,1发,枪械与单兵,德国
{'$oid': '5cc93275831b973d657f1b93'},100发/分,,40毫米,榴弹发射器,XM174式40毫米榴弹发射器,1965年,,15.8千克,400米,712毫米,美国航空喷气军械公司,12发,枪械与单兵,美国
{'$oid': '5cc93275831b973d657f1b94'},8发/分,,40毫米,榴弹发射器,美国M79式40毫米榴弹发射器,1961年,"

",2.72千克,NULL,731毫米,美国斯普林菲尔德兵工厂,NULL,枪械与单兵,美国
{'$oid': '5cc93275831b973d657f1b95'},NULL,,5.56毫米,榴弹发射器,GLF-90 多联榴弹发射器 ,NULL,"

",8千克,NULL,460毫米,意大利吕吉•弗兰奇公司,NULL,枪械与单兵,意大利
{'$oid': '5cc93275831b973d657f1b96'},25发/分,,40毫米,榴弹发射器,南非MGL40毫米榴弹发射器,1985年,,5.3千克,NULL,777毫米,NULL,6发,枪械与单兵,南非
{'$oid': '5cc93275831b973d657f1b97'},6发/分,,40毫米,榴弹发射器,美国L6式40毫米榴弹发射器,20世纪60年代末期,"

",3.71千克,NULL,584毫米,美国佩恩武器公司,NULL,枪械与单兵,美国
{'$oid': '5cc93275831b973d657f1b98'},8发/分,,NULL,榴弹发射器,英国“希尔顿” 多用途榴弹发射器,20世纪90年代初期,"

",2.8千克,NULL,828毫米,英国希尔顿枪械公司,NULL,枪械与单兵,英国
