_id,参战情况,图片,数量,类型,口径,名称,生产年限,简介,全枪重,战斗射速,全枪长,有效射程,制造商,大类,发射性能,产国
{'$oid': '5cc93276831b973d657f1b99'},NULL,,NULL,附件,NULL,巡逻包,NULL,,NULL,NULL,NULL,NULL,艾科提斯公司,枪械与单兵,NULL,英国
{'$oid': '5cc93276831b973d657f1b9a'},NULL,,NULL,附件,NULL,浸身服,NULL,,NULL,NULL,NULL,NULL,台风公司,枪械与单兵,NULL,英国
{'$oid': '5cc93276831b973d657f1b9b'},NULL,,NULL,附件,NULL,隐藏通信器,NULL,,NULL,NULL,NULL,NULL,电视设备协会（TEA）,枪械与单兵,NULL,美国
{'$oid': '5cc93276831b973d657f1b9c'},NULL,,NULL,附件,NULL,PLCE背包,NULL,,NULL,NULL,NULL,NULL,斯尔弗曼公司,枪械与单兵,NULL,英国
{'$oid': '5cc93276831b973d657f1b9d'},NULL,,NULL,附件,NULL,BCB极地手套,NULL,,NULL,NULL,NULL,NULL,BCB国际公司(英国，加的夫),枪械与单兵,NULL,英国
{'$oid': '5cc93276831b973d657f1b9e'},NULL,,NULL,附件,NULL,无线电遥控起爆器,NULL,,NULL,NULL,NULL,NULL,Sonic通信(国际)有限公司(英国),枪械与单兵,NULL,英国
{'$oid': '5cc93276831b973d657f1b9f'},NULL,,NULL,附件,NULL,LITE头戴式耳机,NULL,,NULL,NULL,NULL,NULL,电视设备协会(TEA),枪械与单兵,NULL,美国
{'$oid': '5cc93276831b973d657f1ba0'},NULL,,NULL,附件,NULL,“幻影”系列发送器,NULL,,NULL,NULL,NULL,NULL,CCS国际有限公司,枪械与单兵,NULL,美国
{'$oid': '5cc93276831b973d657f1ba1'},NULL,,NULL,附件,NULL,Diveguard MK2遇险救助系统,NULL,,NULL,NULL,NULL,NULL,NULL,枪械与单兵,NULL,以色列
{'$oid': '5cc93276831b973d657f1ba2'},NULL,,NULL,附件,NULL,LASH头戴式耳机,NULL,,NULL,NULL,NULL,NULL,电视设备协会(TEA),枪械与单兵,NULL,美国
{'$oid': '5cc93277831b973d657f1ba3'},NULL,,NULL,附件,NULL,BCBG格斗手套,NULL,,NULL,NULL,NULL,NULL,BCB国际公司(英国，加的夫),枪械与单兵,NULL,英国
